strategy_class,strategy,window_sec,date,title,score,final_margin,winner,question,outcome,loss_requires_goals,line,required_margin,final_total,team,team_goals,loser,spread_side,locked,buy_trades,buy_size,min_price,last_price,net_roi_min_pct,net_roi_last_pct,trades_le_0.95,size_le_0.95,trades_le_0.97,size_le_0.97,trades_le_0.98,size_le_0.98,trades_le_0.99,size_le_0.99,trades_le_0.995,size_le_0.995,trades_le_0.999,size_le_0.999,caution
locked_after_result,team_total_over_locked,180,2026-06-16,IR Iran vs. New Zealand,2-2,0,,IR Iran vs. New Zealand: New Zealand O/U 1.5,Over,999,1.5,,,New Zealand,2,,,True,2,260.11,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,2,260.11,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-15,Saudi Arabia vs. Uruguay,1-1,0,,Saudi Arabia vs. Uruguay: O/U 1.5,Over,999,1.5,,2,,,,,True,5,4341.36,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,5,4341.36,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-15,Saudi Arabia vs. Uruguay,1-1,0,,Saudi Arabia vs. Uruguay: Both Teams to Score,Yes,999,,,,,,,,True,9,1099.98,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,9,1099.98,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-16,IR Iran vs. New Zealand,2-2,0,,IR Iran vs. New Zealand: O/U 3.5,Over,999,3.5,,4,,,,,True,1,10.52,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,10.52,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-16,IR Iran vs. New Zealand,2-2,0,,IR Iran vs. New Zealand: Both Teams to Score,Yes,999,,,,,,,,True,1,4.54,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,4.54,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-16,France vs. Senegal,3-1,2,France,France vs. Senegal: O/U 3.5,Over,999,3.5,,4,,,,,True,31,8873.58,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,31,8873.58,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-16,France vs. Senegal,3-1,2,France,France vs. Senegal: France O/U 2.5,Over,999,2.5,,,France,3,,,True,16,2677.47,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,16,2677.47,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,btts_yes_locked,180,2026-06-16,Iraq vs. Norway,1-4,3,Norway,Iraq vs. Norway: Both Teams to Score,Yes,999,,,,,,,,True,1,276.57,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,1,276.57,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,total_over_locked,180,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Argentina vs. Algeria: O/U 2.5,Over,999,2.5,,3,,,,,True,14,1730.56,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,14,1730.56,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
locked_after_result,team_total_over_locked,180,2026-06-17,Argentina vs. Algeria,3-0,3,Argentina,Argentina vs. Algeria: Argentina O/U 2.5,Over,999,2.5,,,Argentina,3,,,True,4,340.82,0.999,0.999,0.0971,0.0971,0,0,0,0,0,0,0,0,0,0,4,340.82,已锁定结果类，可能依赖进球后盘口更新延迟，单独观察
